aX,aY,aZ,gX,gY,gZ
0.0133,0.0042,-1.0085,-0.4272,-0.4272,0.0610
0.0161,0.0062,-1.0083,-0.2441,-0.4272,0.0610
0.0187,0.0079,-1.0071,-0.0610,-0.3662,0.0000
0.0247,0.0087,-1.0031,0.3052,-0.3052,0.0610
0.0281,0.0072,-1.0033,0.4883,-0.3052,0.0610
0.0288,0.0060,-1.0037,0.5493,-0.3662,0.0610
0.0272,0.0060,-1.0037,0.5493,-0.3662,0.0610
0.0208,0.0063,-1.0049,0.3052,-0.4272,0.0610
0.0184,0.0065,-1.0061,0.3052,-0.4883,0.0610
0.0178,0.0056,-1.0071,0.3052,-0.4272,0.0610
0.0183,0.0065,-1.0062,0.2441,-0.4272,0.0000
0.0192,0.0062,-1.0039,0.1831,-0.3662,0.0000
0.0206,0.0056,-1.0044,0.1831,-0.4272,0.0000
0.0225,0.0057,-1.0061,0.1831,-0.4272,0.0610
0.0233,0.0059,-1.0042,-0.0610,-0.4272,0.0000
0.0220,0.0067,-1.0046,-0.2441,-0.4883,0.0610
0.0203,0.0071,-1.0043,-0.2441,-0.4272,0.0610
0.0195,0.0068,-1.0049,-0.1831,-0.4272,0.0610
0.0214,0.0072,-1.0055,0.0610,-0.3662,0.0610
0.0211,0.0074,-1.0038,0.3052,-0.3662,0.0610
0.0205,0.0072,-1.0042,0.4272,-0.3052,0.1221
0.0205,0.0072,-1.0054,0.6104,-0.3662,0.1221
0.0203,0.0070,-1.0057,0.5493,-0.3662,0.1221
0.0198,0.0076,-1.0057,0.4272,-0.3662,0.0610
0.0195,0.0076,-1.0044,0.1831,-0.3662,0.0610
0.0215,0.0054,-1.0049,-0.3052,-0.4272,0.0610
0.0219,0.0062,-1.0052,-0.3662,-0.4883,0.0610
0.0219,0.0070,-1.0050,0.0610,-0.4272,0.0610
0.0220,0.0077,-1.0046,0.4272,-0.3662,0.0610
0.0214,0.0096,-1.0056,0.1221,-0.4272,0.0610
0.0199,0.0090,-1.0060,0.6104,-0.3662,0.0610
0.0184,0.0076,-1.0061,0.3662,-0.4272,0.0000
0.0182,0.0072,-1.0057,0.3662,-0.4272,0.0000
0.0205,0.0055,-1.0062,0.4883,-0.3052,0.0610
0.0223,0.0052,-1.0059,0.5493,-0.3662,0.0000
0.0237,0.0051,-1.0042,0.7324,-0.3052,0.0610
0.0231,0.0059,-1.0038,0.4883,-0.3662,0.0610
0.0233,0.0092,-1.0050,0.2441,-0.4883,0.0000
0.0221,0.0088,-1.0059,0.3662,-0.4883,0.0000
0.0204,0.0082,-1.0059,0.4272,-0.4883,0.0610
0.0184,0.0070,-1.0045,0.3052,-0.4883,0.0000
0.0176,0.0057,-1.0060,0.3662,-0.4272,0.0000
0.0178,0.0051,-1.0061,0.4272,-0.3052,0.0610
0.0192,0.0057,-1.0060,0.1831,-0.3662,0.0000
0.0212,0.0074,-1.0066,0.2441,-0.3052,0.0000
0.0223,0.0083,-1.0056,0.1831,-0.3662,0.0000
0.0229,0.0090,-1.0043,0.4272,-0.3052,0.0610
0.0227,0.0087,-1.0035,0.5493,-0.3052,0.0610
0.0225,0.0078,-1.0042,0.6104,-0.3662,0.0610
0.0221,0.0070,-1.0051,0.4883,-0.3662,0.0000
0.0205,0.0060,-1.0057,0.4883,-0.3662,0.0000
0.0193,0.0055,-1.0055,0.4272,-0.3662,0.0000
0.0171,0.0066,-1.0061,0.7324,-0.3052,0.0610
0.0181,0.0068,-1.0049,0.7935,-0.2441,0.0610
0.0195,0.0068,-1.0045,0.8545,-0.2441,0.0610
0.0223,0.0072,-1.0039,1.0376,-0.2441,0.1221
0.0238,0.0074,-1.0035,0.9766,-0.2441,0.1221
0.0248,0.0077,-1.0045,0.9766,-0.3052,0.1221
0.0243,0.0074,-1.0046,0.9155,-0.3662,0.1221
0.0225,0.0062,-1.0055,0.5493,-0.4272,0.1221
0.0209,0.0060,-1.0059,0.4883,-0.4272,0.1221
0.0197,0.0060,-1.0055,0.3052,-0.4272,0.1221
0.0186,0.0055,-1.0057,-0.0610,-0.4272,0.1221
0.0188,0.0060,-1.0073,-0.3662,-0.4272,0.0610
0.0197,0.0062,-1.0065,-0.3052,-0.4272,0.0610
0.0204,0.0061,-1.0059,-0.3662,-0.4272,0.0000
0.0219,0.0061,-1.0048,-0.6714,-0.4272,0.0610
0.0233,0.0067,-1.0029,-2.2583,-0.8545,-0.0610
0.0248,0.0070,-1.0040,-3.9062,-1.1597,-0.1221
0.0239,0.0094,-1.0062,-4.6997,-1.2817,-0.2441
0.0200,0.0139,-1.0093,3.2959,0.2441,-0.9766
0.0193,0.0129,-1.0060,5.0049,0.6104,-1.0376
0.0186,0.0083,-1.0029,2.4414,0.1221,-0.4272
0.0182,0.0061,-1.0039,0.6104,-0.2441,-0.6104
0.0223,0.0092,-1.0059,0.3052,-0.4272,-0.1221
0.0245,0.0083,-1.0056,0.1831,-0.4272,-0.0610
0.0256,0.0092,-1.0052,0.6104,-0.3662,0.0000
0.0255,0.0098,-1.0046,0.9766,-0.4272,0.0610
0.0201,0.0085,-1.0056,0.5493,-0.4883,0.0000
0.0188,0.0084,-1.0071,0.6714,-0.4272,0.0000
0.0181,0.0077,-1.0062,0.4272,-0.4272,-0.0610
0.0177,0.0078,-1.0055,-0.1831,-0.4883,-0.0610
0.0209,0.0090,-1.0052,0.7935,-0.3052,0.1831
0.0222,0.0090,-1.0068,1.4038,-0.1831,0.1831
0.0234,0.0087,-1.0076,1.7090,-0.1831,0.2441
0.0195,-0.0107,-1.0034,0.4883,-0.3662,-1.0376
-0.0342,0.2817,-0.9852,-4.5776,-2.1973,-6.9580
0.0154,0.1383,-0.9883,-32.4707,-11.0474,56.6406
0.0688,-0.1771,-1.0021,-22.7661,-17.0288,33.6914
-0.0165,-0.0283,-1.0150,-37.5366,-28.0762,28.7476
-0.0145,-0.0081,-0.9994,-44.4336,-22.8882,23.0713
-0.0171,0.0048,-1.0072,-39.4287,-26.5503,21.0571
-0.0231,0.0101,-1.0137,-27.0996,-20.3247,11.9629
-0.0286,0.0265,-1.1145,-14.3433,-14.3433,6.7139
-0.0150,0.0135,-1.1520,-21.3623,9.6436,2.4414
0.0022,0.0455,-1.0485,-29.9072,22.7661,-1.5869
